Identifiant	Longitude	Latitude
La Station - Gare des Mines	2.3698454	48.901228
Châteauform' Les Docks de Paris	2.3591063	48.9038536
La Cité Fertile	2.3975302	48.8991583
Le Trabendo	2.3926738	48.8886492
La Gaité Lyrique	2.3536570072174072	48.866905212402344
Le Gambetta Club	2.399265766143799	48.85756301879883
Le Cabaret Sauvage	2.3929687	48.8960013
Panic Room	2.3676044940948486	48.86161804199219
Le 45 Tours	2.3882214	48.8505179
Café Barge	2.3751394	48.8391933
824 heures	2.3473837	48.8761921
Le Nexus	2.4064011573791504	48.89836502075195
Le Jardin Suspendu	2.4363478	48.8403499
Le 6b	2.3418073654174805	48.93894958496094
Magasins Généraux	2.416599	48.8949499
Canal93	2.4365239	48.9122172
Le Kilowatt	2.415109872817993	48.7885627746582
Le Rack'am	2.309301	48.621538
L'Empreinte	2.5899269	48.59593963623047
La Sucrerie	3.076200246810913	48.812625885009766
Le Scarabée	1.9575213	48.7565393
Le Forum	2.0220246	49.031125
L&G Club	2.336479	48.6500022